policy,focus,n_pairs,mean_difference,sd_difference,min_difference,max_difference,modal_choice_difference,fraction_modal_choice_changes
decay_q:0.2,fairness,192,0.010935993381673106,0.008999291653324103,-0.000700932740685993,0.04653039884326102,0.0,0.010416666666666666
decay_q:0.2,risk,192,0.02590454683953063,0.013972774204231764,-0.0035814468469680394,0.07300595530239512,0.052083333333333336,0.052083333333333336
decay_q:0.2,expertise,192,0.03035518624160946,0.01566521391013887,-0.0016005605567103176,0.075824205144152,0.07291666666666667,0.07291666666666667
discounted_evidence:0.8,all,576,0.10352371913768915,0.0723054730451982,-0.008836962805707796,0.3510386395269886,0.140625,0.16666666666666666
discounted_evidence:0.8,fairness,192,0.061073258755734994,0.055587866901425885,-0.00438395677045187,0.24308331330290403,0.057291666666666664,0.125
discounted_evidence:0.8,risk,192,0.11655787704192982,0.0691627030295654,-0.008836962805707796,0.3091662242253182,0.171875,0.17708333333333334
discounted_evidence:0.8,expertise,192,0.1329400216154026,0.07080532287304601,0.00597705244963187,0.3510386395269886,0.19270833333333334,0.19791666666666666
discounted_evidence:0.9,all,576,0.08744203709262538,0.056117449801282644,0.0028184862274269057,0.2772674453316238,0.1267361111111111,0.14930555555555555
discounted_evidence:0.9,fairness,192,0.04765777635932298,0.04017616564598606,0.0028184862274269057,0.19204465295938392,0.03125,0.08854166666666667
discounted_evidence:0.9,risk,192,0.09988228290628016,0.05170762653048071,0.005023753970326023,0.2348734666815634,0.171875,0.17708333333333334
discounted_evidence:0.9,expertise,192,0.11478605201227299,0.05190783334493404,0.011820617236372288,0.2772674453316238,0.17708333333333334,0.18229166666666666
discounted_evidence:0.95,all,576,0.051749931731141174,0.03288171942593177,0.003465501937928054,0.17059222745193092,0.07291666666666667,0.08680555555555555
discounted_evidence:0.95,fairness,192,0.02640451350403873,0.0211426059823115,0.003465501937928054,0.10272639073232406,0.005208333333333333,0.046875
discounted_evidence:0.95,risk,192,0.05996874303047393,0.029933377848857395,0.004819199612626647,0.1390848055336516,0.09895833333333333,0.09895833333333333
discounted_evidence:0.95,expertise,192,0.06887653865891089,0.03005685689293313,0.01462577431101586,0.17059222745193092,0.11458333333333333,0.11458333333333333
recent_window:5,all,576,0.16290538555529024,0.16826054057028422,-0.2880523206583282,0.7611132530572946,0.22569444444444445,0.2916666666666667
recent_window:5,fairness,192,0.10723072970382934,0.1361282833482622,-0.09211628700031994,0.603914467420841,0.14583333333333334,0.2604166666666667
recent_window:5,risk,192,0.17988530329213348,0.17290761410730004,-0.22132075651721206,0.6462123314187714,0.20833333333333334,0.2604166666666667
