scenario,role,effect_fraction,n_pairs,active_calls,calls_with_shams,coupling,unusable_fraction,expected_focus_difference,expected_nondefault_difference,pooled_hits,pooled_n_simulations,pooled_rate,pooled_ci_lo,pooled_ci_hi,nondefault_hits,nondefault_n_simulations,nondefault_rate,nondefault_ci_lo,nondefault_ci_hi,joint_hits,joint_n_simulations,joint_rate,joint_ci_lo,joint_ci_hi,focus_fairness_hits,focus_fairness_n_simulations,focus_fairness_rate,focus_fairness_ci_lo,focus_fairness_ci_hi,focus_risk_hits,focus_risk_n_simulations,focus_risk_rate,focus_risk_ci_lo,focus_risk_ci_hi,focus_expertise_hits,focus_expertise_n_simulations,focus_expertise_rate,focus_expertise_ci_lo,focus_expertise_ci_hi
reward_learning,invariant_null,0.0,576,1152,1536,independent,0.1,0.0,0.0,99,5000,0.0198,0.01629103729527757,0.024046290728854936,98,5000,0.0196,0.016110241929952362,0.023827393186235175,37,5000,0.0074,0.005373566400957179,0.010182801330587321,66,5000,0.0132,0.010389403252556018,0.01675805880939255,104,5000,0.0208,0.017196500586557525,0.025139291977299815,102,5000,0.0204,0.01683402366822501,0.024702383079742398
reward_learning,invariant_null,0.0,576,1152,1536,negative_bound,0.0,0.0,0.0,111,5000,0.0222,0.01846806568308761,0.02666557723638451,111,5000,0.0222,0.01846806568308761,0.02666557723638451,37,5000,0.0074,0.005373566400957179,0.010182801330587321,90,5000,0.018,0.014667704518575023,0.022072387334052767,91,5000,0.0182,0.014847634201950236,0.02229215055862253,79,5000,0.0158,0.012696585024719542,0.019646884840513613
reward_learning,invariant_null,0.0,576,1152,1536,negative_bound,0.1,0.0,0.0,117,5000,0.0234,0.01956133244721663,0.027970467919925298,99,5000,0.0198,0.01629103729527757,0.024046290728854936,45,5000,0.009,0.00673319292420765,0.01202071807089659,88,5000,0.0176,0.014308195226544798,0.02163251081019306,99,5000,0.0198,0.01629103729527757,0.024046290728854936,102,5000,0.0204,0.01683402366822501,0.024702383079742398
belief_static,invariant_null,0.0,18,36,48,independent,0.0,-1.2721305490496585e-17,-5.782411586589357e-19,31,5000,0.0062,0.004371360588064539,0.008786849695810154,2,5000,0.0004,0.0001096989857531115,0.001457416967717518,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694
belief_static,invariant_null,0.0,18,36,48,independent,0.1,-1.2721305490496585e-17,-5.782411586589357e-19,21,5000,0.0042,0.0027487533004756644,0.006412527903949351,3,5000,0.0006,0.00020407096088550332,0.001762737900530094,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694,0,5000,0.0,0.0,0.000767730137580694
belief_static,invariant_null,0.0,18,36,48,negative_bound,0.0,-1.2721305490496585e-17,-5.782411586589357e-19,40,5000,0.008,0.0058806486976492565,0.010874797757730148,17,5000,0.0034,0.0021239187553747756,0.00543859081727037,4,5000,0.0008,0.0003111419445903861,0.0020553598247701793,0,5000,0.0,0.0,0.000767730137580694,1,5000,0.0002,3.5304875272480036e-05,0.0011321181702531819,6,5000,0.0012,0.0005500756587335479,0.002615811926516952
belief_static,invariant_null,0.0,18,36,48,negative_bound,0.1,-1.2721305490496585e-17,-5.782411586589357e-19,56,5000,0.0112,0.008635351796585613,0.014515181185913273,14,5000,0.0028,0.0016686615436143238,0.0046947693051959186,3,5000,0.0006,0.00020407096088550332,0.001762737900530094,0,5000,0.0,0.0,0.000767730137580694,2,5000,0.0004,0.0001096989857531115,0.001457416967717518,2,5000,0.0004,0.0001096989857531115,0.001457416967717518
belief_static,invariant_null,0.0,36,72,96,independent,0.0,-1.2914052543382898e-17,-8.673617379884035e-19,66,5000,0.0132,0.010389403252556018,0.01675805880939255,37,5000,0.0074,0.005373566400957179,0.010182801330587321,15,5000,0.003,0.0018189133867023654,0.004944210370052845,0,5000,0.0,0.0,0.000767730137580694,16,5000,0.0032,0.001970710595456084,0.005192106069244095,13,5000,0.0026,0.0015201123516485658,0.004443625589216709
belief_static,invariant_null,0.0,36,72,96,independent,0.1,-1.2914052543382898e-17,-8.673617379884035e-19,53,5000,0.0106,0.00811341195175059,0.013838042306913394,21,5000,0.0042,0.0027487533004756644,0.006412527903949351,7,5000,0.0014,0.0006783239436107811,0.002887256549584687,1,5000,0.0002,3.5304875272480036e-05,0.0011321181702531819,5,5000,0.001,0.00042720718893578876,0.0023389874883697442,14,5000,0.0028,0.0016686615436143238,0.0046947693051959186
belief_static,invariant_null,0.0,36,72,96,negative_bound,0.0,-1.2914052543382898e-17,-8.673617379884035e-19,76,5000,0.0152,0.012161821505719159,0.018982569635679084,53,5000,0.0106,0.00811341195175059,0.013838042306913394,16,5000,0.0032,0.001970710595456084,0.005192106069244095,2,5000,0.0004,0.0001096989857531115,0.001457416967717518,42,5000,0.0084,0.006220620278197563,0.011334211993071774,48,5000,0.0096,0.007248637881821691,0.012704351837117454
belief_static,invariant_null,0.0,36,72,96,negative_bound,0.1,-1.2914052543382898e-17,-8.673617379884035e-19,56,5000,0.0112,0.008635351796585613,0.014515181185913273,35,5000,0.007,0.005037604888092059,0.009719377027562506,10,5000,0.002,0.0010867350406975989,0.003677924176332773,0,5000,0.0,0.0,0.000767730137580694,33,5000,0.0066,0.004703481688179132,0.009254114411585497,46,5000,0.0092,0.006904702346799829,0.012248901556249381
belief_static,invariant_null,0.0,72,144,192,independent,0.0,-9.05911148565666e-18,2.6020852139652106e-18,69,5000,0.0138,0.010919380389000657,0.01742716039678281,73,5000,0.0146,0.011628394959642338,0.018316917457921,24,5000,0.0048,0.00322775763196324,0.007132602296296678,4,5000,0.0008,0.0003111419445903861,0.0020553598247701793,60,5000,0.012,0.009334492301086808,0.015414812313191951,52,5000,0.0104,0.007939925453345731,0.013611835897373284
belief_static,invariant_null,0.0,72,144,192,independent,0.1,-9.05911148565666e-18,2.6020852139652106e-18,62,5000,0.0124,0.009685341838572314,0.015863348591596382,52,5000,0.0104,0.007939925453345731,0.013611835897373284,21,5000,0.0042,0.0027487533004756644,0.006412527903949351,4,5000,0.0008,0.0003111419445903861,0.0020553598247701793,53,5000,0.0106,0.00811341195175059,0.013838042306913394,46,5000,0.0092,0.006904702346799829,0.012248901556249381
belief_static,invariant_null,0.0,72,144,192,negative_bound,0.0,-9.05911148565666e-18,2.6020852139652106e-18,82,5000,0.0164,0.013232612095298076,0.02030993649376998,78,5000,0.0156,0.012518186641408368,0.01942559031587981,27,5000,0.0054,0.003713916213769333,0.00784552243832549,6,5000,0.0012,0.0005500756587335479,0.002615811926516952,61,5000,0.0122,0.00950981475670272,0.01563918276552101,66,5000,0.0132,0.010389403252556018,0.01675805880939255
