subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
swap_post:risk_to_expertise,brier,simple_minus_belief,-0.006355108775694926,0.04976379477551394,0.007647743744799484,-0.16797837261138276,0.056048387319818385,20,1,-0.030695085520947168,0.012699991840324274
swap_post:risk_to_expertise,accuracy,simple_minus_belief,0.010000000000000002,0.11652874052533588,0.0,-0.30000000000000004,0.30000000000000004,20,2,-0.04000000000000001,0.06000000000000001
swap_late:risk_to_expertise,log_loss,simple_minus_belief,-0.028208113782055046,0.12680938004114747,-0.002202802017318444,-0.4494832579023096,0.1329409456839607,20,1,-0.09062923005672004,0.019215140134541595
swap_late:risk_to_expertise,brier,simple_minus_belief,-0.019723343872308802,0.08752350658306687,-0.005099055730262049,-0.34102078620717896,0.06164657112399312,20,1,-0.06340317525574458,0.011108541958221302
swap_late:risk_to_expertise,accuracy,simple_minus_belief,0.010000000000000004,0.1774082416646034,0.0,-0.2,0.6000000000000001,20,7,-0.06,0.1
swap_post:expertise_to_fairness,log_loss,simple_minus_belief,-0.018544293398061566,0.05762496005115983,0.006210336297063484,-0.14879301893604596,0.05516440152871945,20,2,-0.04460643103345774,0.004587938844621649
swap_post:expertise_to_fairness,brier,simple_minus_belief,-0.010812011020250558,0.03427281373189768,-0.00559195967843417,-0.10736818136987845,0.0336711093884611,20,2,-0.026299496327466206,0.002823741491619906
swap_post:expertise_to_fairness,accuracy,simple_minus_belief,0.02,0.0523148363780597,0.0,-0.1,0.1,20,6,0.0,0.045
swap_late:expertise_to_fairness,log_loss,simple_minus_belief,-0.030021107315744422,0.07536729270595709,-0.015870673330322674,-0.19303913970947997,0.1236187903461721,20,4,-0.06328293185239171,0.00042687923529582814
swap_late:expertise_to_fairness,brier,simple_minus_belief,-0.01663633460784812,0.04818024000250564,-0.009970422581177953,-0.15259741215255865,0.06809140430092768,20,3,-0.03846528316908795,0.0022479157979789924
swap_late:expertise_to_fairness,accuracy,simple_minus_belief,0.02,0.06155870112510924,0.0,0.0,0.2,20,2,0.0,0.05
swap_post:expertise_to_risk,log_loss,simple_minus_belief,-0.009430331156184066,0.044831980447670054,-0.009974148684995604,-0.09115097197762123,0.08837910112271709,20,0,-0.028614849165594907,0.010022475813398948
swap_post:expertise_to_risk,brier,simple_minus_belief,-0.0037556117937386285,0.029797842060288005,-0.0007680417725526752,-0.07766527758522984,0.06458675607550052,20,3,-0.017218564254556312,0.008724359750112255
swap_post:expertise_to_risk,accuracy,simple_minus_belief,-0.005,0.039403446282620616,0.0,-0.1,0.1,20,3,-0.025,0.01
swap_late:expertise_to_risk,log_loss,simple_minus_belief,-0.016700392522210648,0.08278727120233947,-0.005798317018925402,-0.1894059539457299,0.16498345611317244,20,3,-0.05383778989250012,0.01822945129604
swap_late:expertise_to_risk,brier,simple_minus_belief,-0.009314233494386048,0.06270255716756466,-0.005176315243994688,-0.16101894615148032,0.13114885476966598,20,3,-0.038066853148583255,0.017168007391428295
