subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
swap_post:fairness_to_risk,log_loss,simple_minus_belief,-0.0323944086869616,0.07617268940446958,-0.042593967917486236,-0.23798479008673545,0.15155906024088528,20,2,-0.06652580884008258,0.0001188094153730628
swap_post:fairness_to_risk,brier,simple_minus_belief,-0.013047491295172051,0.03162540836985496,-0.009176402209427326,-0.10548923536054952,0.07099843384965543,20,4,-0.027257522657776926,7.383805195507217e-05
swap_post:fairness_to_risk,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
swap_late:fairness_to_risk,log_loss,simple_minus_belief,-0.03763536818426733,0.06584487251607916,-0.052724547866310284,-0.16652647468839119,0.1426415063567983,20,3,-0.06402594373021865,-0.007512677487725103
swap_late:fairness_to_risk,brier,simple_minus_belief,-0.005150115010755126,0.03883364734359534,-0.009364777044569082,-0.09685823018234349,0.13003692058628946,20,3,-0.020494684486891238,0.013023613597123956
swap_late:fairness_to_risk,accuracy,simple_minus_belief,0.0,0.0,0.0,0.0,0.0,20,0,0.0,0.0
swap_post:fairness_to_expertise,log_loss,simple_minus_belief,-0.09406089561656224,0.3291387609910293,-0.006897482254698404,-1.3815120076266605,0.13022532302677334,20,4,-0.26096637600740635,0.010149227276536237
swap_post:fairness_to_expertise,brier,simple_minus_belief,-0.07481495397174498,0.2606038030677946,-0.002191495326338747,-1.133361101551694,0.011318401174413222,20,3,-0.20490880274873757,-0.00031222685638108755
swap_post:fairness_to_expertise,accuracy,simple_minus_belief,0.05500000000000001,0.22354794611117842,0.0,0.0,1.0,20,2,0.0,0.16
swap_late:fairness_to_expertise,log_loss,simple_minus_belief,-0.11132078161517159,0.36004014858346944,-0.013839638570398768,-1.5967193250968348,0.011513551491711498,20,2,-0.28758232187990074,-0.010273143567908462
swap_late:fairness_to_expertise,brier,simple_minus_belief,-0.07363008785625788,0.28739162840207355,-0.0018594237066019768,-1.2866930506537877,0.0008474003361770792,20,2,-0.20923638591658747,-0.001632971611190285
