subset,metric,direction,mean,sd,median,min,max,n_groups,iqr_outliers,ci_lo,ci_hi
stable_target:risk,brier,simple_minus_belief,-0.013469232263561129,0.03463562489843569,-0.011357003653267946,-0.13012475026965634,0.05911387181744782,20,3,-0.029150489448194945,-0.0001170139077582153
stable_target:risk,accuracy,simple_minus_belief,0.015789473684210527,0.03457614133325191,0.0,-0.05263157894736842,0.10526315789473684,20,0,0.002631578947368421,0.031578947368421054
stable_target:expertise,log_loss,simple_minus_belief,-0.008186816785280177,0.023368237646037744,-0.0031432435613310107,-0.08419966141885182,0.014717271752071638,20,1,-0.01953810763289579,0.0006985513990600073
stable_target:expertise,brier,simple_minus_belief,-0.007298458964741819,0.013876632422798728,-0.003405647515563267,-0.05043728398578705,0.004655012024792028,20,2,-0.01386992750782767,-0.0020906257347179666
stable_target:expertise,accuracy,simple_minus_belief,0.010526315789473684,0.021599544254424292,0.0,0.0,0.05263157894736842,20,4,0.002631578947368421,0.021052631578947368
swap_post:fairness_to_risk,log_loss,simple_minus_belief,-0.04846382350363678,0.0986600933122852,-0.0234899454110097,-0.3525532354408915,0.09832779566234175,20,4,-0.0924431822161027,-0.009567654100497404
swap_post:fairness_to_risk,brier,simple_minus_belief,-0.029704695028466684,0.05387179544712812,-0.019419956630192983,-0.19346174866757304,0.060430412079538136,20,3,-0.053757824687784006,-0.008864486639179424
swap_post:fairness_to_risk,accuracy,simple_minus_belief,0.005,0.039403446282620616,0.0,-0.1,0.1,20,3,-0.01,0.02
swap_late:fairness_to_risk,log_loss,simple_minus_belief,-0.07144556824015709,0.1330837131430227,-0.05600445471422326,-0.4667710864721544,0.17765789367059534,20,3,-0.12954455537149942,-0.018045106603480437
swap_late:fairness_to_risk,brier,simple_minus_belief,-0.035682475988473294,0.06443547928635994,-0.028216559240383746,-0.213324429920613,0.1154688612772018,20,3,-0.06285534139123841,-0.008572502411630205
swap_late:fairness_to_risk,accuracy,simple_minus_belief,0.0,0.06488856845230502,0.0,-0.2,0.2,20,2,-0.030000000000000006,0.030000000000000006
